Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
192.0	274.0	224.0	2500.0	0.4647058823529412	0.5636007827788649	0.5117700646345591
220.0	275.0	223.0	2704.0	0.4627450980392157	0.5655577299412916	0.5115750846049084
236.0	276.0	222.0	2916.0	0.46078431372549017	0.5675146771037182	0.5113725266558421
244.0	277.0	221.0	3136.0	0.4588235294117647	0.5694716242661448	0.5111623817786701
140.0	232.0	268.0	1296.0	0.5470588235294118	0.4774951076320939	0.5110948168610823
272.0	223.0	276.0	2809.0	0.5647058823529412	0.461839530332681	0.5106892396379471
480.0	228.0	272.0	1936.0	0.5549019607843138	0.46966731898238745	0.5105088796677669
44.0	271.0	229.0	1764.0	0.47058823529411764	0.5538160469667319	0.5105088796677669
288.0	222.0	277.0	3025.0	0.5666666666666667	0.4598825831702544	0.5104900885062746
52.0	272.0	228.0	1936.0	0.46862745098039216	0.5557729941291585	0.5103434937005545
508.0	234.0	267.0	1089.0	0.5431372549019607	0.4794520547945205	0.5103021388336525
0.0	267.0	234.0	1089.0	0.47843137254901963	0.5440313111545988	0.5101780541196744
360.0	268.0	233.0	1225.0	0.4764705882352941	0.5459882583170255	0.5100464161327641
164.0	231.0	270.0	1521.0	0.5490196078431373	0.4735812133072407	0.5099072190230477
344.0	269.0	232.0	1369.0	0.4745098039215686	0.547945205479452	0.5099072190230477
464.0	230.0	271.0	1681.0	0.5509803921568628	0.47162426614481406	0.5097604565981577
368.0	270.0	231.0	1521.0	0.4725490196078431	0.5499021526418787	0.5097604565981577
148.0	233.0	269.0	1296.0	0.5450980392156862	0.4755381604696673	0.5091315339322934
456.0	229.0	273.0	1936.0	0.5529411764705883	0.46771037181996084	0.5085433346742688
28.0	273.0	230.0	1849.0	0.4666666666666667	0.5518590998043053	0.5074783212860846
420.0	298.0	200.0	9604.0	0.4176470588235294	0.6105675146771037	0.5049769566208784
104.0	201.0	299.0	9604.0	0.6078431372549019	0.41682974559686886	0.5033558386119737
396.0	299.0	201.0	9604.0	0.41568627450980394	0.6086105675146771	0.5029821661226903
88.0	200.0	301.0	10201.0	0.6098039215686275	0.41291585127201563	0.5017944852063674
112.0	202.0	300.0	9604.0	0.6058823529411764	0.41487279843444225	0.5013622515574445
404.0	300.0	202.0	9604.0	0.4137254901960784	0.6066536203522505	0.5009870921086296
124.0	315.0	183.0	17424.0	0.3843137254901961	0.6438356164383562	0.4974282504610103
80.0	312.0	188.0	15376.0	0.39019607843137255	0.6340508806262231	0.49739739358616525
96.0	313.0	187.0	15876.0	0.38823529411764707	0.6360078277886497	0.4969111450577983
384.0	183.0	316.0	17689.0	0.6431372549019608	0.3835616438356164	0.49667170515555037
412.0	188.0	313.0	15625.0	0.6333333333333333	0.38943248532289626	0.496629211824913
72.0	314.0	186.0	16384.0	0.3862745098039216	0.6379647749510763	0.4964166906102132
428.0	187.0	314.0	16129.0	0.6352941176470588	0.38747553816046965	0.49614607740611516
436.0	186.0	315.0	16641.0	0.6372549019607843	0.38551859099804303	0.4956547305438712
300.0	333.0	163.0	28900.0	0.34901960784313724	0.6829745596868885	0.48823305192167926
256.0	332.0	166.0	27556.0	0.3509803921568627	0.6771037181996086	0.4874937215437431
252.0	166.0	333.0	27889.0	0.6764705882352942	0.350293542074364	0.48678874110035636
284.0	334.0	164.0	28900.0	0.34705882352941175	0.6810176125244618	0.4861616720860958
224.0	165.0	334.0	28561.0	0.6784313725490196	0.34833659491193736	0.4861301000711204
208.0	164.0	335.0	29241.0	0.6803921568627451	0.34637964774951074	0.4854626614124381
200.0	163.0	336.0	29929.0	0.6823529411764706	0.34442270058708413	0.4847863887874119
308.0	335.0	165.0	28900.0	0.34509803921568627	0.6790606653620352	0.48408935551707566
359.0	278.0	253.0	625.0	0.4568627450980392	0.5068493150684932	0.4812074079160178
448.0	339.0	162.0	31329.0	0.33725490196078434	0.684931506849315	0.48062096104135743
43.0	281.0	251.0	900.0	0.45098039215686275	0.5107632093933464	0.47994186363715885
60.0	162.0	340.0	31684.0	0.6843137254901961	0.33659491193737767	0.47993386853702186
