Index in PPC list	Rank of PPC for ISP A	Rank of PPC for ISP B	(Rank A - Rank B)^2	Willingness (A)	Willingness (B)	Willingness (AB) = 1 - (diff^2/(1-n)^2)
125.0	137.0	100.0	1369.0	0.7333333333333333	0.8062622309197651	0.7689336573080678
124.0	138.0	99.0	1521.0	0.7313725490196078	0.8082191780821918	0.7688363417792534
316.0	88.0	148.0	3600.0	0.8294117647058824	0.7123287671232876	0.7686441698149356
451.0	173.0	60.0	12769.0	0.6627450980392157	0.8845401174168297	0.7656530721136278
411.0	75.0	167.0	8464.0	0.8549019607843137	0.675146771037182	0.7597264628646846
427.0	77.0	166.0	7921.0	0.8509803921568627	0.6771037181996086	0.7590796978212319
357.0	190.0	50.0	19600.0	0.6294117647058823	0.9041095890410958	0.7543588084763551
406.0	134.0	119.0	225.0	0.7392156862745098	0.7690802348336595	0.7540001151145302
422.0	136.0	121.0	225.0	0.7352941176470589	0.7651663405088063	0.7500815350331268
333.0	192.0	53.0	19321.0	0.6254901960784314	0.898238747553816	0.7495595575620932
341.0	191.0	55.0	18496.0	0.6274509803921569	0.8943248532289628	0.7490961259728851
238.0	183.0	69.0	12996.0	0.6431372549019608	0.8669275929549902	0.7466950062320203
356.0	194.0	54.0	19600.0	0.6215686274509804	0.8962818003913894	0.7463917526865965
332.0	197.0	52.0	21025.0	0.615686274509804	0.9001956947162426	0.744471714445625
340.0	198.0	51.0	21609.0	0.6137254901960785	0.9021526418786693	0.744092784784716
123.0	147.0	117.0	900.0	0.7137254901960784	0.7729941291585127	0.7427688831341485
230.0	178.0	85.0	8649.0	0.6529411764705882	0.8356164383561644	0.738653085242617
310.0	156.0	112.0	1936.0	0.696078431372549	0.7827788649706457	0.7381568156159987
435.0	76.0	190.0	12996.0	0.8529411764705882	0.6301369863013698	0.733123306431818
339.0	203.0	59.0	20736.0	0.6039215686274509	0.8864970645792564	0.7316930352438344
355.0	204.0	58.0	21316.0	0.6019607843137255	0.8884540117416829	0.7313101077755587
214.0	179.0	95.0	7056.0	0.6509803921568628	0.8160469667318982	0.7288556608969635
331.0	206.0	61.0	21025.0	0.5980392156862745	0.8825831702544031	0.7265117665370939
465.0	106.0	176.0	4900.0	0.7941176470588235	0.6575342465753424	0.7226060813133302
456.0	110.0	175.0	4225.0	0.7862745098039216	0.6594911937377691	0.7200979899126003
464.0	107.0	179.0	5184.0	0.792156862745098	0.6516634050880626	0.7184842646435255
315.0	95.0	189.0	8836.0	0.8156862745098039	0.6320939334637965	0.7180462002735841
480.0	109.0	178.0	4761.0	0.788235294117647	0.6536203522504892	0.7177789566415586
457.0	104.0	184.0	6400.0	0.7980392156862746	0.6418786692759295	0.7157124770427803
481.0	105.0	185.0	6400.0	0.796078431372549	0.639921722113503	0.7137421668511239
368.0	143.0	158.0	225.0	0.7215686274509804	0.6927592954990215	0.7070172374186764
344.0	142.0	172.0	900.0	0.7235294117647059	0.6653620352250489	0.6938364374670353
118.0	209.0	98.0	12321.0	0.592156862745098	0.8101761252446184	0.6926408539754444
360.0	144.0	173.0	841.0	0.7196078431372549	0.6634050880626223	0.690935239039828
405.0	164.0	154.0	100.0	0.6803921568627451	0.700587084148728	0.6904157857799418
421.0	167.0	153.0	196.0	0.6745098039215687	0.7025440313111546	0.6883842217874806
397.0	168.0	152.0	256.0	0.6725490196078432	0.7045009784735812	0.6883396272082359
442.0	24.0	259.0	55225.0	0.9549019607843138	0.49510763209393344	0.687589447770816
345.0	141.0	180.0	1521.0	0.7254901960784313	0.649706457925636	0.6865534688237274
369.0	140.0	181.0	1681.0	0.7274509803921568	0.6477495107632094	0.6864444745594771
361.0	139.0	182.0	1849.0	0.7294117647058823	0.6457925636007827	0.6863298721824533
229.0	217.0	102.0	13225.0	0.5764705882352941	0.8023483365949119	0.6800957414706246
250.0	40.0	257.0	47089.0	0.9235294117647059	0.49902152641878667	0.6788674809942421
205.0	218.0	104.0	12996.0	0.5745098039215686	0.7984344422700587	0.6772801598103981
213.0	219.0	103.0	13456.0	0.5725490196078431	0.8003913894324853	0.6769514792968022
396.0	170.0	164.0	36.0	0.6686274509803921	0.6810176125244618	0.6747940947689031
404.0	171.0	163.0	64.0	0.6666666666666666	0.6829745596868885	0.6747713487727471
420.0	172.0	165.0	49.0	0.6647058823529411	0.6790606653620352	0.6718449365297374
446.0	250.0	67.0	33489.0	0.5117647058823529	0.8708414872798435	0.6675821579460612
249.0	54.0	262.0	43264.0	0.8960784313725491	0.4892367906066536	0.6621136880449991
455.0	124.0	217.0	8649.0	0.7588235294117647	0.5772994129158513	0.6618673417204886
248.0	57.0	261.0	41616.0	0.8901960784313725	0.4911937377690802	0.661255426527513
441.0	37.0	272.0	55225.0	0.9294117647058824	0.46966731898238745	0.6606923124723802
212.0	221.0	122.0	9801.0	0.5686274509803921	0.7632093933463796	0.6587729592984546
440.0	38.0	273.0	55225.0	0.9274509803921569	0.46771037181996084	0.6586185868042314
309.0	195.0	156.0	1521.0	0.6196078431372549	0.6966731898238747	0.6570115467161307
301.0	196.0	155.0	1681.0	0.6176470588235294	0.6986301369863014	0.6568918094443472
463.0	123.0	223.0	10000.0	0.7607843137254902	0.5655577299412916	0.6559477490208588
479.0	126.0	224.0	9604.0	0.7549019607843137	0.5636007827788649	0.6522755062236656
285.0	199.0	157.0	1764.0	0.611764705882353	0.6947162426614482	0.6519224477370558
450.0	182.0	177.0	25.0	0.6450980392156863	0.6555772994129159	0.6503165616879113
228.0	224.0	130.0	8836.0	0.5627450980392157	0.7475538160469667	0.6486002200901108
350.0	289.0	19.0	72900.0	0.43529411764705883	0.9647749510763209	0.648043872786983
354.0	212.0	151.0	3721.0	0.5862745098039216	0.7064579256360078	0.6435668372821473
414.0	255.0	91.0	26896.0	0.5019607843137255	0.8238747553816047	0.6430807246276544
338.0	208.0	160.0	2304.0	0.5941176470588235	0.6888454011741683	0.6397305752681266
334.0	287.0	38.0	62001.0	0.4392156862745098	0.9275929549902152	0.6382894142232252
359.0	149.0	220.0	5041.0	0.7098039215686275	0.5714285714285714	0.6368690924329414
343.0	150.0	221.0	5041.0	0.707843137254902	0.5694716242661448	0.6348988747022574
204.0	225.0	147.0	6084.0	0.5607843137254902	0.7142857142857143	0.6328982730973721
330.0	210.0	168.0	1764.0	0.5901960784313726	0.6731898238747553	0.6303284811039297
367.0	151.0	226.0	5625.0	0.7058823529411765	0.5596868884540117	0.6285484052419857
426.0	78.0	275.0	38809.0	0.8490196078431372	0.4637964774951076	0.6275127914568154
410.0	80.0	274.0	37636.0	0.8450980392156863	0.4657534246575342	0.6273813082456896
326.0	290.0	49.0	58081.0	0.43333333333333335	0.9060665362035225	0.6266010152839363
398.0	254.0	114.0	19600.0	0.503921568627451	0.7788649706457925	0.6264877155673536
434.0	79.0	277.0	39204.0	0.8470588235294118	0.4598825831702544	0.6241374847434358
300.0	200.0	186.0	196.0	0.6098039215686275	0.6379647749510763	0.6237254376629296
308.0	201.0	188.0	169.0	0.6078431372549019	0.6340508806262231	0.6208087277568484
