,pair,Pred
616,1239-6461,1
617,1239-6762,1
618,1239-6830,1
619,1239-6939,1
620,1239-7481,0
621,1239-7922,1
622,1239-8220,1
623,1239-9009,1
624,1239-9304,1
625,1239-12956,1
626,1239-13030,1
627,1239-15133,0
628,1239-15169,1
629,1239-16509,0
630,1239-18106,1
631,1239-20940,0
632,1239-22822,1
633,1239-32934,0
634,1239-54113,0
635,1239-54825,1
636,1239-58511,1
637,1239-199524,1
638,1248-1280,1
639,1248-4788,1
640,1248-4826,1
641,1248-6939,1
642,1248-8220,1
643,1248-8359,1
644,1248-9002,1
645,1248-9304,1
646,1248-13030,1
647,1248-13786,1
648,1248-14061,1
649,1248-14537,1
650,1248-14907,1
651,1248-16552,1
652,1248-18106,1
653,1248-19151,1
654,1248-19653,1
655,1248-27446,1
656,1248-29791,1
657,1248-32354,1
658,1248-36351,1
659,1248-37468,1
660,1248-47147,1
661,1248-51185,1
662,1248-57695,1
663,1248-58511,1
664,1248-199524,1
665,1273-2497,1
666,1273-2516,1
667,1273-2603,1
668,1273-2914,1
669,1273-3292,1
670,1273-3320,1
671,1273-3491,1
672,1273-4637,1
673,1273-4766,1
674,1273-5511,1
675,1273-6128,1
676,1273-6327,1
677,1273-6453,1
678,1273-6461,1
679,1273-6762,1
680,1273-6830,0
681,1273-6939,1
682,1273-7342,1
683,1273-7922,1
684,1273-8075,1
685,1273-8220,1
686,1273-8966,0
687,1273-9002,1
688,1273-9009,1
689,1273-10310,1
690,1273-12956,1
691,1273-12989,1
692,1273-13030,1
693,1273-13414,1
694,1273-14340,1
695,1273-14907,1
696,1273-15169,1
697,1273-15412,1
698,1273-17676,1
699,1273-19679,1
700,1273-22822,1
701,1273-30132,1
702,1273-32261,0
703,1273-32934,1
704,1273-33438,1
705,1273-41095,1
706,1273-46489,1
707,1273-49544,1
708,1273-51185,1
709,1273-54113,0
710,1273-57976,1
711,1273-60068,1
712,1273-62955,1
713,1273-63949,1
714,1273-132203,0
715,1280-2152,1
716,1280-2497,1
717,1280-2516,1
718,1280-2647,1
719,1280-3292,1
720,1280-3320,1
721,1280-3856,1
722,1280-4637,1
723,1280-5511,1
724,1280-6453,1
725,1280-7342,1
726,1280-7843,1
727,1280-7922,1
728,1280-9318,1
729,1280-9498,1
730,1280-9505,1
731,1280-9680,1
732,1280-10310,1
733,1280-11071,1
734,1280-11164,1
735,1280-13414,1
736,1280-13427,1
737,1280-14061,1
738,1280-14340,1
739,1280-14361,1
740,1280-14907,1
741,1280-15169,1
742,1280-15211,1
743,1280-15412,1
744,1280-16509,1
745,1280-17117,1
746,1280-17676,1
747,1280-19151,1
748,1280-20940,1
749,1280-22697,1
750,1280-22822,1
751,1280-23393,1
752,1280-26803,1
753,1280-29791,1
754,1280-32354,1
755,1280-32787,1
756,1280-33011,1
757,1280-33517,1
758,1280-35788,1
759,1280-36351,1
760,1280-39386,1
761,1280-40511,1
762,1280-40627,1
763,1280-43531,1
764,1280-45102,1
765,1280-46489,1
766,1280-49544,1
767,1280-54113,1
768,1280-57976,1
769,1280-64208,1
770,1280-132203,1
771,1280-199524,1
772,1280-396919,1
773,1299-2497,0
774,1299-2828,1
775,1299-2914,1
776,1299-3257,1
777,1299-3320,0
778,1299-3491,1
779,1299-4134,1
780,1299-5511,1
781,1299-6453,1
782,1299-6461,1
783,1299-6762,1
784,1299-6830,0
785,1299-7922,1
786,1299-8075,0
787,1299-9002,1
788,1299-12956,0
789,1299-15169,1
790,1299-15580,0
791,1299-22822,0
792,1422-14061,1
793,1547-2381,1
794,1547-4181,1
795,1547-4826,1
796,1547-5645,1
797,1547-5650,1
798,1547-6079,1
799,1547-6233,1
800,1547-6830,0
801,1547-6939,1
802,1547-8220,1
803,1547-8359,1
804,1547-13030,1
805,1547-13786,1
806,1547-14061,1
807,1547-14537,1
808,1547-16552,1
809,1547-18106,1
810,1547-19151,1
811,1547-19653,1
812,1547-36351,1
813,1547-37468,1
814,1547-42473,1
815,1547-43531,1
816,1547-47147,1
817,1547-51185,1
818,1547-53828,1
819,1547-58511,1
820,1547-137409,1
821,1547-199524,1
822,1759-2603,1
823,1820-2906,1
824,1820-3223,1
825,1820-3249,1
826,1820-4134,1
827,1820-4788,1
828,1820-6079,1
829,1820-6233,1
830,1820-6461,1
831,1820-6939,1
832,1820-8220,1
833,1820-9009,1
834,1820-9304,1
835,1820-11708,1
836,1820-13030,1
837,1820-13335,1
838,1820-13786,1
839,1820-14061,1
840,1820-14361,1
841,1820-14537,1
842,1820-16509,1
843,1820-18106,1
844,1820-20940,1
845,1820-21859,1
846,1820-23473,1
847,1820-27257,1
848,1820-29791,1
849,1820-32097,1
850,1820-32787,1
851,1820-32934,1
852,1820-33438,1
853,1820-34927,1
854,1820-35280,1
855,1820-36351,1
856,1820-37468,1
857,1820-40630,1
858,1820-43531,1
859,1820-45474,0
860,1820-47147,1
861,1820-51185,1
862,1820-57695,1
863,1820-62240,0
864,1820-64049,1
865,1820-64050,1
866,1820-137409,0
867,1820-199524,1
868,1828-2381,1
869,1828-3333,1
870,1828-3402,1
871,1828-6079,1
872,1828-6233,1
873,1828-6939,1
874,1828-7489,1
875,1828-8220,1
876,1828-8359,1
877,1828-11686,1
878,1828-11708,1
879,1828-13030,1
880,1828-13786,1
881,1828-14061,1
882,1828-14361,1
883,1828-14537,1
884,1828-14630,1
885,1828-14907,1
886,1828-16552,1
887,1828-18106,1
888,1828-19151,1
889,1828-19653,1
890,1828-23367,1
891,1828-25885,1
892,1828-27446,1
893,1828-30132,1
894,1828-32097,1
895,1828-32354,1
896,1828-34927,1
897,1828-35280,1
898,1828-36351,1
899,1828-37468,1
900,1828-40630,1
901,1828-42473,1
902,1828-43531,1
903,1828-47147,1
904,1828-51185,1
905,1828-53828,1
906,1828-57695,1
907,1828-58511,1
908,1828-131477,1
909,1828-199524,1
910,1828-263237,1
911,2044-2906,1
912,2044-3361,1
913,2044-3856,1
914,2044-4181,1
915,2044-4766,0
916,2044-6315,1
917,2044-6327,1
918,2044-7342,1
919,2044-7752,1
920,2044-8075,1
921,2044-10310,1
922,2044-10835,1
923,2044-11274,1
924,2044-13335,1
925,2044-13768,1
926,2044-14340,1
927,2044-14361,1
928,2044-15133,1
929,2044-16276,1
930,2044-16509,1
931,2044-16713,1
932,2044-18106,1
933,2044-18530,1
934,2044-19528,1
935,2044-19679,1
936,2044-19754,1
937,2044-20940,1
938,2044-21947,1
939,2044-22702,1
940,2044-22822,1
941,2044-23033,1
942,2044-27400,1
943,2044-30340,1
944,2044-31800,1
945,2044-32621,1
946,2044-32934,1
947,2044-33362,1
948,2044-36351,1
949,2044-36692,1
950,2044-40475,1
951,2044-47096,1
952,2044-53828,1
953,2134-6939,1
954,2134-13786,1
955,2134-14061,1
956,2134-14537,1
957,2134-16552,1
958,2134-36351,1
959,2134-37468,1
960,2134-43531,1
961,2134-51185,1
962,2134-58511,1
963,2134-199524,1
964,2152-2153,0
965,2152-2516,1
966,2152-2828,1
967,2152-2906,1
968,2152-3292,1
969,2152-3856,1
970,2152-4766,1
971,2152-5650,1
972,2152-6130,1
973,2152-6461,1
974,2152-6939,1
975,2152-7342,1
976,2152-8075,1
977,2152-8121,1
978,2152-9318,1
979,2152-9505,1
980,2152-9680,1
981,2152-10310,1
982,2152-13414,1
983,2152-14361,1
984,2152-15133,1
985,2152-15169,1
986,2152-16509,1
987,2152-19151,1
988,2152-19679,1
989,2152-20940,1
990,2152-22822,1
991,2152-27318,1
992,2152-29791,1
993,2152-32590,1
994,2152-32934,1
995,2152-36351,1
996,2152-46489,1
997,2152-54113,1
998,2153-11096,0
999,2381-2635,1
1000,2381-2906,1
